COMUNA_NOMBRE,COMUNA_ID,PROVINCIA_NOMBRE,PROVINCIA_ID,REGION_NOMBRE,REGION_ID
Iquique,1101,Iquique,11,Tarapacá,1
Alto Hospicio,1107,Iquique,11,Tarapacá,1
Pozo Almonte,1401,Tamarugal,14,Tarapacá,1
Camiña,1402,Tamarugal,14,Tarapacá,1
Colchane,1403,Tamarugal,14,Tarapacá,1
Huara,1404,Tamarugal,14,Tarapacá,1
Pica,1405,Tamarugal,14,Tarapacá,1
Antofagasta,2101,Antofagasta,21,Antofagasta,2
Mejillones,2102,Antofagasta,21,Antofagasta,2
Sierra Gorda,2103,Antofagasta,21,Antofagasta,2
Taltal,2104,Antofagasta,21,Antofagasta,2
Calama,2201,El Loa,22,Antofagasta,2
Ollagüe,2202,El Loa,22,Antofagasta,2
San Pedro de Atacama,2203,El Loa,22,Antofagasta,2
Tocopilla,2301,Tocopilla,23,Antofagasta,2
María Elena,2302,Tocopilla,23,Antofagasta,2
Copiapó,3101,Copiapó,31,Atacama,3
Caldera,3102,Copiapó,31,Atacama,3
Tierra Amarilla,3103,Copiapó,31,Atacama,3
Chañaral,3201,Chañaral,32,Atacama,3
Diego de Almagro,3202,Chañaral,32,Atacama,3
Vallenar,3301,Huasco,33,Atacama,3
Alto del Carmen,3302,Huasco,33,Atacama,3
Freirina,3303,Huasco,33,Atacama,3
Huasco,3304,Huasco,33,Atacama,3
La Serena,4101,Elqui,41,Coquimbo,4
Coquimbo,4102,Elqui,41,Coquimbo,4
Andacollo,4103,Elqui,41,Coquimbo,4
La Higuera,4104,Elqui,41,Coquimbo,4
Paihuano,4105,Elqui,41,Coquimbo,4
Vicuña,4106,Elqui,41,Coquimbo,4
Illapel,4201,Choapa,42,Coquimbo,4
Canela,4202,Choapa,42,Coquimbo,4
Los Vilos,4203,Choapa,42,Coquimbo,4
Salamanca,4204,Choapa,42,Coquimbo,4
Ovalle,4301,Limarí,43,Coquimbo,4
Combarbalá,4302,Limarí,43,Coquimbo,4
